#Incident	#Data	#Location	#Target	#Fatalities	#Injuries	#Perps	#AttackType
Budyonnovsk_hospital_hostage_crisis	June 14&acirc;&euro;&ldquo;19, 1995	Budyonnovsk, Stavropol Krai, Russian Federation	null	At least 140	At least 415	Chechen rebels led by Shamil Basayev and Aslambek Abdulkhadzhiev	Hostage crisis
Deal_barracks_bombing	22 September 1989	Royal Marine barracks, Deal, Kent|Deal, England,	Royal Marines School of Music	11 Royal Marines	21 Royal Marines	null	Time bomb
2004_SuperFerry_14_bombing	February 27, 2004	Manila Bay, Philippines	SuperFerry	116	null	Abu Sayyaf}}	Bombings
1995_Palo_Verde	null	null	null	null	null	null	null
2004_Kufa_shelling	August 26, 2004	Kufa, Iraq	mosque	74	315}}	null	mortar attack
1993_Bishopsgate_bombing	24 April 1993	Bishopsgate, City of London	Financial district	1	44	Provisional IRA	Truck bomb
Second_Magdalena_Massacre	One day in mid November 1776	Magdalena de Kino, Sonora, New Spain	null			Apache	Mass murder
12_February_2007_Baghdad_bombings	12 February 2007	Baghdad, Iraq		Approx. 76	Approx. 150		Car bombing
1983_Kuwait_bombings	12 December 1983	Kuwait City, Kuwait	Embassies, infrastructure	Six, 1 suicide bomber	Eighty	Dawa Party ''(alleged)''	Suicide bombing
19_June_2007_al-Khilani_Mosque_bombing	June 19, 2007	Baghdad, Iraq	Al-Khilani Shiite mosque	87	218	null	Car bomb
1_August_2007_Baghdad_bombings	1 August 2007	Baghdad, Iraq		74	60+	Unknown: legal proceedings have not yet taken place.	Suicide bomb and car bombs
2003_El_Nogal_Club_bombing	February 7, 2003	Bogot&Atilde;&iexcl;, Colombia	''El Nogal'' club	36	200+	FARC	Car bombing
2003_Nasiriyah_bombing	November 12, 2003	Nasiriyah, Iraq	Italian military police headquarters	17 Italian soldiers	103 (including 19 Italian soldiers)	Jama'at al-Tawhid wal-Jihad	suicide bombing
2005_Al_Hillah_bombing	February 28, 2005	Al Hillah, Iraq	Iraqi police recruiting center	127	hundreds}}	null	suicide car bomb
2005_Amman_bombings	9 November 2005	Amman, Jordan	Three hotels	60, plus 3 suicide bombers	115	Ali Hussein Ali al-Shamari (SAS Radisson), Rawad Jassem Mohammed Abed (Grand Hyatt), and Safaa Mohammed Ali (Days Inn)	Suicide attack|Suicide bombings
2005_Khanaqin_bombings	November 18, 2005	Khanaqin, Iraq	2 Shiite mosques	at least 74	more than 100	al-Qaeda in Iraq	car bombs
2006_Central_Mindanao_bombings	10 October&acirc;&euro;&ldquo;11 2006	multiple locations in Central Mindanao (Tacurong, Makilala, and Cotabato City)	multiple targets (incl. public market, bank, shopping mall)	8	at least 30	unknown (Moro Islamic Liberation Front|MILF, Abu Sayyaf, and Jemaah Islamiyah suspected)	
2006_Madrid_Barajas_International_Airport_bombing	| date December 30, 2006	| location Madrid, Spain	| target Madrid-Barajas Airport	| fatalities 2	| injuries 52	null	| type car bomb|van bombing
2006_Malegaon_blasts	8 September 2006	Malegaon, Maharashtra, India	Vicinity of Mosque	37		(Suspected outfits)&acirc;&euro;&rdquo;Lashkar-e-Toiba,	Bombings
2006_Varanasi_bombings	7 March 2006	Varanasi, India	Sankat Mochan Hanuman Temple (Varanasi)|Sankat Mochan Hanuman Temple and Varanasi Cantonment Railway Station	28	101	Lashkar-e Kahar/Qahab	Bombing
2007_Al_Hillah_bombings	null	null	null	null	null	null	null
2007_Batna_bombing	6 September 2007	Batna, Algeria|Batna, Algeria	Abdelaziz Bouteflika	15&acirc;&euro;&rdquo;22	70&acirc;&euro;&rdquo;107	al-Qaeda Organization in the Islamic Maghreb	suicide bombings
2007_Iraqi_Parliament_bombing	April 12, 2007	Council of Representatives of Iraq, Baghdad	Politicians	1	23	null	suicide bomb
2007_al-Askari_Mosque_bombing	June 13, 2007	Samarra, Iraq	Al-Askari Mosque	0	0	Attributed to al-Qaeda in Iraq	Bombing (demolition) or a rocket or Mortar (weapon)|mortar attack
29_March_2007_Baghdad_bombings	29 March 2007	Baghdad, Iraq	Al-Shaab market	82	138	Unknown: legal proceedings have not yet taken place.	Suicide bombings
4_March_2001_BBC_bombing	4 March 2001	White City, London|White City, London, United Kingdom	The BBC main news centre	0	1	Noel Maguire, Robert Hulme, Aiden Hulme, James McCormack and John Hannan	Car bomb
Sterling_Hall_bombing	August 24, 1970	Madison, Wisconsin|Madison, Wisconsin, United States	Army Mathematics Research Center, Sterling Hall, UW&acirc;&euro;&ldquo;Madison	1	4	Karleton Armstrong, Dwight Armstrong, David Fine and Leo Burt	bombing (Ammonium nitrate)
Dolphinarium_discotheque_suicide_bombing	June 1, 2001	Tel Aviv, Israel		21	100+	Lone Palestinian assailant (Saeed Hotari)	Suicide attack
Beit_Lid_massacre	January 22, 1995	Beit Lid Junction, Israel		23	69	Islamic Jihad Movement in Palestine|Palestinian Islamic Jihad,	Suicide attack
2008_Charsadda_bombing	February 9, 2008	Charsadda, Pakistan	Awami National Party	27	50	null	Suicide attack
Podujevo_bus_bombing	| date  February 16, 2001	| location  near Podujevo, Kosovo, Serbia, FR Yugoslavia	| target  Serbs	| fatalities  12	| injuries  44	| perps  Allegedly ethnic Kosovar Albanians|Albanian extremists	| type  bombing
30_June_2009_Kirkuk_bombing	30 June 2009	Kirkuk, Iraq	null	40	null	null	Suicide bombing and car bomb
Eilat_bakery_bombing	January 29, 2007	Eilat, Israel		3 civilians		al-Aqsa Martyrs' Brigades	suicide attack
2010_Kosovska_Mitrovica_attack	July 2, 2010	North Kosovska Mitrovica|Northern Kosovska Mitrovica	A group of peacefully protesting Serbs	1	11	unknown	Explosive device
NBI_Knowledgebase	18 August 2010	Oregon State University	null	null	null	null	
Villatina_Massacre	November 15, 1992	Medell&Atilde;&shy;n, Department of Antioquia|Antioquia	Civilians	unknown		Colombian National Police	shooting, mass murder, massacre
Silco_incident	August 1, 1985	Mediterranean Sea	''Silco''	0	multiple people abducted	Palestinian terrorists and Libya	kidnapping
Nanping_school_massacre	23 March 2010	Nanping, People's Republic of China		8	5	Zheng Minsheng	Stabbing
Jakarta_Stock_Exchange_bombing		Jakarta, Indonesia	Stock Exchange	15			car bomb
2009_suicide_air_raid_on_Colombo	February 20, 2009	Colombo and near Bandaranaike International Airport|Katunayake International Airport, in Sri Lanka.	null	2 (excluding the 2 pilots)	58+	Liberation Tigers of Tamil Eelam.	Murder-suicide, Suicide attack
2008_Mumbai_attacks	| date           26 November 2008	| location	null	| fatalities     Approximately 164 (including 10 terrorists)	| injuries       More than 308	| perps          Lashkar-e-Taiba led by Hafiz Muhammad Saeed	| type           Bombings, shootings, hostage crisis
2007_Uttar_Pradesh_bombings	23 November 2007	Lucknow, Varanasi and Faizabad, India	Court Premises	18	81	null	Bombings
Macayepo_massacre	October, 2000	Macayepo, Department of Bol&Atilde;&shy;var|Bol&Atilde;&shy;var	Civilians dubbed as guerrilla supporters	15		Heroes of Montes de Maria Bloc of the United Self-Defense Forces of Colombia (AUC)	shooting, mass murder, massacre
Mehola_Junction_bombing	April 16, 1993	Mehola Junction, Palestinian Territories		2 (including the perpetrator)	21	Hamas,	Suicide attack
5_April_2010_Timergarah_bombings	5 April 2010	Timergarah, Pakistan	Political rally	46	100+		Suicide bomber
Mustansiriya_University_bombings	January 16, 2007	Baghdad, Iraq	Mustansiriya University	ca. 70	169		suicide attack and car bomb(s)
12_September_2008_Dujail_bombing	September 12, 2008	Dujail, Iraq	Police station	31	60		suicide bombings
2007_attack_on_tourists_in_Yemen	July 2, 2007	Mareb, Yemen	Belgian Tourists	10	12	Al-Qaeda	Car Bomb
2009_Nouakchott_suicide_bombing	8 August 2009	Nouakchott, Mauritania	Embassy of France	1 (the perpetrator)	3		suicide bombing
2008_Indian_embassy_bombing_in_Kabul	7 July 2008	Embassy of India, Malalai Watt, Shahr-e-Nau, Kabul, Afghanistan	Indian embassy	58	150+		Suicide attack|Suicide car bomb
14_September_2005_Baghdad_bombings	September 14, 2005	Baghdad, Iraq	Labourers who gathered in Oruba Square	160	570	Claimed by al-Qaeda in Iraq}}	Suicide bombings
2008_United_States_consulate_in_Istanbul_attack	July 9, 2008	Consulate of America, Istanbul, Turkey	United States|American consulate	6	1 Turkish National Police officer shot in arm	null	Shooting|Gunfire at the US Consulate
2008_Kunming_bus_bombings	| date        21 July 2008	| location    {{flagicon|PRC}} Kunming, People's Republic of China|China	null	| fatalities  2	| injuries    14	| perps       Li Yan (murderer)|Li Yan	| type        Bombings
Downing_Street_mortar_attack	7 February 1991	10 Downing Street, London, England	null	0	4	null	Mortar (weapon)|Mortar
Villanueva_massacre	December 8, 1998	Villanueva, La Guajira|Villanueva, Department of La Guajira|La Guajira	Presumed supporters of the Luciano Ariza Front of the National Liberation Army (Colombia)|National Liberation Army (ELN)	11		United Self-Defense Forces of Colombia (AUC)	shooting, mass murder, massacre
Hadera_bus_station_suicide_bombing	April 13, 1994	Hadera, Israel		6 (including the perpetrator)	30	Hamas,	Suicide attack
Abole_oil_field_raid	April 24, 2007	Abole, Somali Region, Ethiopia	Abole oil field	65 Ethiopian workers	Unknown	Image:ONLF flag.svg|20px Ogaden National Liberation Front	null
Kaspiysk_bombing	May 9, 2002	Kaspiysk, Dagestan	Victory parade	44	133	Blamed on Rappani Khalilov	Land mine-based bombing
Bah¨ªa_Portete_massacre	null	null	null	null	null	null	null
Wickenburg_massacre	November 5, 1871	near Wickenburg, Arizona	null	6 killed		Yavapai people|Yavapai	Mass murder
April_2010_Kohat_bombings	April 17, 2010	Kohat, Pakistan	IDP camp	58	86	Lashkar-e-Jhangvi	Suicide bombing
2005_Ku?adas?_minibus_bombing	null	null	null	null	null	null	null
Bat_Ayin_ax_attack	April 2, 2009	Bat Ayin, Judea and Samaria area, West Bank		1 child	3 children (1 serious)	Lone Palestinian assailant (Moussa Tayet). Palestinian Islamic Jihad and other Palestinian groups claimed responsibility	Axe attack
Hu?_chemical_attacks	null	null	null	null	null	null	null
2009_Burgos_bombing	29 July 2009	Burgos, Spain	Civil Guard (Spain)|Civil Guard barracks	0	65		Car bomb|Van bomb
Kizlyar-Pervomayskoye_hostage_crisis	January 9&acirc;&euro;&ldquo;18, 1996	null	null	null	null	null	null
Jaffa_Road_bus_bombings	February 25, 1996 and March 3, 1996	Jerusalem	bus	45	55	Hamas, Mohammed Abdo (2nd attack)	suicide bomber
Letelier_case	September 21, 1976	Washington, D.C.	Orlando Letelier	2	1	Direcci&Atilde;&sup3;n de Inteligencia Nacional|DINA	car bombing
Makhachkala_Rus_bombing	July 1, 2005	Makhachkala, Dagestan	Rus (special forces)	11	25	Sharia Jamaat}}	Bombing
Nepalese_royal_massacre	June 1, 2001	Narayanhity Royal Palace, Kathmandu, Nepal	The Nepali Royal Family	10 (including the perpetrator)	5	Crown Prince Dipendra Bir Bikram Shah	Fratricide, patricide,
6_March_2008_Baghdad_bombing	6 March 2008	Baghdad, Iraq	Karrada	68	120	Unknown: legal proceedings have not yet taken place.	Suicide bombing
2008_Sri_Lanka_bus_bombings	January 16, 2008	Buttala, Sri Lanka		32	62	null	Improvised explosive device|Roadside bomb, Ambush
22_May_2008_Exeter_bombing	22 May 2008	Exeter, Devon, England, UK	Princesshay	0	1	null	null
9_October_2009_Peshawar_bombing	9 October 2009	Peshawar, Pakistan	Khyber Bazaar	41	null		Minibus bomb
Mercaz_HaRav_massacre	March 6, 2008	The Mercaz HaRav Yeshiva at Kiryat Moshe, Jerusalem, Israel		8 civilians	11	null	Mass murder
2008_Beni_Amrane_bombings	June 9, 2008	Beni Amrane, Boumerd&Atilde;&uml;s Province, Algeria	Civilians (1st blast), first responders (2nd blast)	13			Bombing
13_May_2007_Makhmour_bombing	13 May 2007	Makhmour, Iraq	Kurdish Democratic Party|KDP office	At least 50	About 70		Suicide attack
2008_Karbala_bombing	March 17, 2008	Karbala, Iraq		At least 42	58		suicide bomb
2009_Zahedan_bombing	May 28, 2009	Zahedan, Iran		20	55	Jundullah	
24_June_2004_Mosul_bombings	May 15, 2007	Mosul, Iraq	Four police stations and hospital	At least 62	At least 220		Car bombs
1_February_2010_Baghdad_bombing	1 February 2010	Baghdad, Iraq	Multiple	approx 54	117		Suicide Bomber
2008_attack_on_tourists_in_Yemen	January 18, 2008	Hadhramaut Governorate|Hadhramaut, Yemen	Belgian Tourists	5	4	Unknown, possibly Al-Qaeda	Ambush
2008_Balad_bombing	February 10, 2008	Balad, Iraq		25+	40+		car bomb
2008_Parachinar_bombing	February 16, 2008	Parachinar, Pakistan	Riaz Shah, Pakistan People's Party	47	150	null	Suicide attack
2008_Negele_Boran_bombings	May 28, 2008	Negele Boran, Ethiopia		3	5		Bombing
Havelock_Road_Bombing	null	null	null	null	null	null	null
14_September_2004_Baghdad_bombing	14 September 2004	Baghdad, Iraq	Karrada	47	114	Tawhid and Jihad	Car bomb
2008_Tripoli	null	null	null	null	null	null	null
2009_Yemeni_tourist_attacks	15 March 2009	Shibam, Yemen	South Korean tourists	6 (including the perpetrators)	4		Suicide attack|Suicide bombings
6_April_2010_Baghdad_bombings	6 April 2010	Baghdad, Iraq	Government Buildings	58	170+		Homemade bombs
Dizengoff_Street_bus_bombing	October 19, 1994	Dizengoff Street, Tel Aviv, Israel		23 (including bomber)	50	Hamas,	Suicide attack
Pearl_Continental_hotel_bombing	9 June 2009	Peshawar, Pakistan	null	at least 17	at least 46	Tehrik-i-Taliban Pakistan	bombing
17_June_2008_Baghdad_bombing	17 June 2008	Baghdad, Iraq	Bus stop	51	75	Unknown: legal proceedings have not yet taken place.	Car bomb
18_August_2009_NATO_convoy_bombing	August 18, 2009	Kabul, Afghanistan	NATO convoy	At least 7		Taliban	Suicide attack
Xa_Loi_Pagoda_raids	August 21, 1963	Many Buddhist temples across South Vietnam, most notably Xa Loi Pagoda in Saigon.	Buddhist protestors	Estimates range up to hundreds	Hundreds	Army of the Republic of Vietnam Special Forces under orders from Ngo Dinh Nhu	Shootings, beatings, temple demolitions
10_May_2010_Iraq_attacks	10 May 2010	Baghdad, Mosul, Basra, Fallujah, Iskandariyah, Al	various	100+	350+		coordinated bomb detonations, targeted killings
2002_Kabul_bombing	September 5, 2002	Kabul, Afghanistan	Unknown	30	167	Taliban	car bomb
17_August_2010_Baghdad_bombings	17 August 2010	Baghdad, Iraq	Army recruits	69+	169	Islamic State of Iraq (al-Qaeda in Iraq	Suicide bombing and Truck bombing
5_December_2008_Peshawar_bombing	5 December 2008	Peshawar, Pakistan	Westerners	29	over 100	null	Car bombing
2008_Shiraz_explosion	April 12, 2008	Shiraz, Iran		14	202	Anjoman-e Padeshahi-e Iran	
1996_Sarajevo_tram_attack	9 January 1996	Sarajevo, Bosnia and Herzegovina	city tram	1	19	Serbian militants	Rocket-propelled grenade
26_June_2008_Karmah_Bombing	26 June 2008	Al-Karmah, Iraq	Tribal Sheik meeting	25	Unknown	Islamic State of Iraq	Suicide bombing
Makombo_massacre	14&acirc;&euro;&ldquo;17 December 2009	Makombo, DR Congo		321		Lord's Resistance Army	
Belarus_bomb_blast	4 July 2008	Minsk, Belarus		0	54		
2008_Kashgar_attack	August 4, 2008	near Kashgar, Xinjiang,	Policemen	16	16	Two Uyghur people|Uyghur men	Vehicular, IED and knife attack against police
Lively_Massacre	1813	Washington County, Illinois|Washington County, Illinois	null	~3 killed			Mass murder
2008_attacks_on_Christians_in_Mosul		Mosul, Iraq					
Hebrew_University_massacre	July 31, 2002	Jerusalem, Israel	University cafeteria	9	~100	Hamas claimed of responsibility	Remotely detonated concealed bomb
2010_Aksu_bombing	19 August 2010	Aksu, Xinjiang|Aksu, Xinjiang, People's Republic of China	Security personnel	7+	14+		Bomb
27_January_2003_Mumbai_bombing	27 January 2003	Mumbai, India		1	null	null	Bombing
2009_NATO_Afghanistan_headquarters_bombing	August 15, 2009	Kabul, Afghanistan	North Atlantic Treaty Organization headquarters	7	91	Taliban	Suicide attack
2008_Hargeisa¨CBosaso_bombings	null	null	null	null	null	null	null
Karkur_junction_suicide_bombing	October 21, 2002	Karkur Junction, Wadi Ara		14	40+	Islamic Jihad Movement in Palestine|Islamic Jihad	suicide bomber
2008_Wah_bombing	21 August 2008	Wah Cantonment, Pakistan	Pakistan Ordnance Factories	70	100+		Suicide attacks
1987_Hipercor_bombing	19 June 1987	Barcelona, Spain	Hipercor Commercial centre	21	45	ETA	Car bomb
5_January_2006_Iraq_bombings	5 January 2006	Karbala and Ramadi, Iraq	Shia pilgrims, police recruiting centre	about 120 or more	at least 120		suicide attack
30_September_2004_Baghdad_bombing	June 24, 2004	Mosul, Iraq		at least 41	at least 131	al-Qaeda in Iraq	car bomb, Improvised explosive device|IED
July_2010_Lahore_bombings	1 July 2010	Lahore, Punjab (Pakistan)|Punjab, Pakistan		50	200+		2 Suicide bombings
