combined-0,199001300001-gtd
combined-24595,199910120005-gtd
combined-24596,199910120006-gtd
combined-24597,199910120007-gtd
combined-24598,199910120008-gtd
combined-24599,199910120009-gtd
combined-24600,199910130001-gtd
combined-24601,199910130002-gtd
combined-24602,199910140001-gtd
combined-24603,199910140002-gtd
combined-24604,199910140003-gtd
combined-24605,199910140004-gtd
combined-24606,199910140005-gtd
combined-24607,199910150001-gtd
combined-24608,199910160001-gtd
combined-24609,199910160002-gtd
combined-24610,199910160003-gtd
combined-24611,199910160005-gtd
combined-24612,199910160006-gtd
combined-24613,199910170001-gtd
combined-24614,199910170002-gtd
combined-24615,199910170004-gtd
combined-24616,199910170005-gtd
combined-24617,199910170006-gtd
combined-24618,199910170007-gtd
combined-24619,199910170008-gtd
combined-24620,199910170009-gtd
combined-24621,199910180001-gtd
combined-24622,199910180002-gtd
combined-24623,199910180003-gtd
combined-24624,199910180004-gtd
combined-24625,199910180005-gtd
combined-24626,199910190001-gtd
combined-24627,199910200001-gtd
combined-24628,199910200002-gtd
combined-24629,199910210001-gtd
combined-24630,199910210002-gtd
combined-24631,199910210003-gtd
combined-24632,199910220001-gtd
combined-24633,199910220002-gtd
combined-24634,199910220003-gtd
combined-24635,199910230001-gtd
combined-24636,199910230002-gtd
combined-24637,199910230003-gtd
combined-24638,199910230004-gtd
combined-24639,199910230005-gtd
combined-24640,199910230006-gtd
combined-24641,199910240001-gtd
combined-24642,199910240002-gtd
combined-24643,199910250001-gtd
combined-24644,199910250002-gtd
combined-24645,199910250003-gtd
combined-24646,199910250004-gtd
combined-24647,199910250005-gtd
combined-24648,199910250006-gtd
combined-24649,199910250007-gtd
combined-24650,199910250008-gtd
combined-24651,199910250009-gtd
combined-24652,199910260001-gtd
combined-24653,199910260002-gtd
combined-24654,199910260003-gtd
combined-24655,199910260004-gtd
combined-24656,199910260006-gtd
combined-24657,199910260007-gtd
combined-24658,199910270001-gtd
combined-24659,199910270002-gtd
combined-24660,199910270003-gtd
combined-24661,199910270004-gtd
combined-24662,199910270005-gtd
combined-24663,199910270006-gtd
combined-24664,199910270007-gtd
combined-24665,199910280001-gtd
combined-24666,199910280002-gtd
combined-24667,199910290001-gtd
combined-24668,199910300001-gtd
combined-24669,199910300002-gtd
combined-24670,199910300003-gtd
combined-24671,199910310001-gtd
combined-24672,199911000001-gtd
combined-24673,199911000002-gtd
combined-24674,199911010001-gtd
combined-24675,199911010002-gtd
combined-24676,199911010003-gtd
combined-24677,199911010005-gtd
combined-24678,199911020001-gtd
combined-24679,199911030001-gtd
combined-24680,199911030002-gtd
combined-24681,199911030003-gtd
combined-24682,199911030004-gtd
combined-24683,199911040001-gtd
combined-24684,199911040002-gtd
combined-24685,199911040003-gtd
combined-24686,199911040004-gtd
combined-24687,199911040005-gtd
combined-24688,199911040006-gtd
combined-24689,199911040007-gtd
combined-24690,199911050001-gtd
combined-24691,199911050002-gtd
combined-24692,199911050003-gtd
combined-24693,199911050004-gtd
combined-24694,199911050005-gtd
combined-24695,199911050006-gtd
combined-24696,199911050007-gtd
combined-24697,199911050008-gtd
combined-24698,199911050009-gtd
combined-24699,199911060001-gtd
combined-24700,199911060002-gtd
combined-24701,199911060003-gtd
combined-24702,199911060004-gtd
combined-24703,199911060005-gtd
combined-24704,199911070001-gtd
combined-24705,199911070002-gtd
combined-24706,199911070003-gtd
combined-24707,199911070004-gtd
combined-24708,199911070005-gtd
combined-24709,199911070006-gtd
combined-24710,199911070007-gtd
combined-24711,199911070008-gtd
combined-24712,199911080001-gtd
combined-24713,199911090001-gtd
combined-24714,199911090002-gtd
combined-24715,199911090003-gtd
combined-24716,199911090004-gtd
combined-24717,199911090005-gtd
combined-24718,199911090006-gtd
combined-24719,199911100001-gtd
combined-24720,199911100002-gtd
combined-24721,199911100003-gtd
combined-24722,199911100004-gtd
combined-24723,199911110001-gtd
combined-24724,199911110002-gtd
combined-24725,199911110003-gtd
combined-24726,199911110004-gtd
combined-24727,199911110005-gtd
combined-24728,199911110006-gtd
combined-24729,199911120001-gtd
combined-24730,199911120002-gtd
combined-24731,199911120003-gtd
combined-24732,199911120004-gtd
combined-24733,199911120005-gtd
combined-24734,199911120006-gtd
combined-24735,199911120007-gtd
combined-24736,199911120008-gtd
combined-24737,199911120010-gtd
combined-24738,199911130001-gtd
combined-24739,199911130002-gtd
combined-24740,199911130003-gtd
combined-24741,199911130004-gtd
combined-24742,199911130005-gtd
combined-24743,199911130006-gtd
combined-24744,199911130007-gtd
combined-24745,199911130008-gtd
combined-24746,199911130009-gtd
combined-24747,199911130010-gtd
combined-24748,199911140001-gtd
combined-24749,199911140002-gtd
combined-24750,199911140003-gtd
combined-24751,199911140004-gtd
combined-24752,199911140005-gtd
combined-24753,199911140006-gtd
combined-24754,199911140007-gtd
combined-24755,199911150001-gtd
combined-24756,199911160001-gtd
combined-24757,199911170002-gtd
combined-24758,199911170003-gtd
combined-24759,199911170004-gtd
combined-24760,199911180001-gtd
combined-24761,199911180002-gtd
combined-24762,199911190001-gtd
combined-24763,199911190002-gtd
combined-24764,199911190003-gtd
combined-24765,199911190004-gtd
combined-24766,199911200001-gtd
combined-24767,199911200002-gtd
combined-24768,199911210001-gtd
combined-24769,199911210002-gtd
combined-24770,199911220001-gtd
combined-24771,199911220002-gtd
combined-24772,199911220003-gtd
combined-24773,199911230001-gtd
combined-24774,199911230002-gtd
combined-24775,199911230003-gtd
combined-24776,199911230004-gtd
combined-24777,199911230005-gtd
combined-24778,199911240001-gtd
combined-24779,199911240002-gtd
combined-24780,199911250001-gtd
combined-24781,199911250002-gtd
combined-24782,199911250003-gtd
combined-24783,199911250004-gtd
combined-24784,199911250005-gtd
combined-24785,199911250006-gtd
combined-24786,199911250007-gtd
combined-24787,199911250008-gtd
combined-24788,199911250009-gtd
combined-24789,199911260001-gtd
combined-24790,199911260002-gtd
combined-24791,199911270001-gtd
combined-24792,199911270002-gtd
combined-24793,199911270003-gtd
combined-24794,199911280001-gtd
combined-24795,199911280002-gtd
combined-24796,199911280003-gtd
combined-24797,199911280004-gtd
combined-24798,199911290001-gtd
combined-24799,199911290002-gtd
combined-24800,199911290003-gtd
combined-24801,199911290004-gtd
combined-24802,199911300001-gtd
combined-24803,199911300002-gtd
combined-24804,199912020001-gtd
combined-24805,199912030001-gtd
combined-24806,199912030002-gtd
combined-24807,199912040001-gtd
combined-24808,199912060001-gtd
combined-24809,199912060002-gtd
combined-24810,199912060003-gtd
combined-24811,199912060004-gtd
combined-24812,199912060005-gtd
combined-24813,199912060006-gtd
combined-24814,199912060007-gtd
combined-24815,199912070001-gtd
combined-24816,199912080001-gtd
combined-24817,199912080002-gtd
combined-24818,199912090001-gtd
combined-24819,199912090002-gtd
combined-24820,199912100001-gtd
combined-24821,199912110001-gtd
combined-24822,199912120001-gtd
combined-24823,199912120002-gtd
combined-24824,199912120003-gtd
combined-24825,199912130001-gtd
combined-24826,199912130002-gtd
combined-24827,199912140001-gtd
combined-24828,199912140002-gtd
combined-24829,199912150001-gtd
combined-24830,199912150002-gtd
combined-24831,199912150003-gtd
combined-24832,199912160001-gtd
combined-24833,199912170001-gtd
combined-24834,199912170002-gtd
combined-24835,199912170003-gtd
combined-24836,199912180001-gtd
combined-24837,199912180002-gtd
combined-24838,199912180003-gtd
combined-24839,199912180004-gtd
combined-24840,199912190001-gtd
combined-24841,199912190002-gtd
combined-24842,199912190003-gtd
combined-24843,199912200001-gtd
combined-24844,199912200003-gtd
combined-24845,199912220001-gtd
combined-24846,199912220002-gtd
combined-24847,199912230001-gtd
combined-24848,199912240001-gtd
combined-24849,199912240002-gtd
combined-24850,199912240003-gtd
combined-24851,199912240004-gtd
combined-24852,199912240005-gtd
combined-24853,199912240006-gtd
combined-24854,199912240007-gtd
combined-24855,199912250001-gtd
combined-24856,199912250003-gtd
combined-24857,199912270001-gtd
combined-24858,199912270002-gtd
combined-24859,199912280002-gtd
combined-24860,199912290001-gtd
combined-24861,199912290002-gtd
combined-24862,199912300001-gtd
combined-24863,199912300002-gtd
combined-24864,199912310001-gtd
combined-24865,199912310002-gtd
combined-24866,199912310003-gtd
combined-24867,200001010001-gtd
combined-24868,200001010002-gtd
combined-24869,200001010003-gtd
combined-24870,200001010004-gtd
combined-24871,200001010005-gtd
combined-24872,200001010006-gtd
combined-24873,200001010007-gtd
combined-24874,200001010008-gtd
combined-24875,200001010009-gtd
combined-24876,200001010010-gtd
combined-24877,200001010011-gtd
combined-24878,200001010012-gtd
combined-24879,200001010013-gtd
combined-24880,200001010014-gtd
combined-24881,200001010015-gtd
combined-24882,200001010016-gtd
combined-24883,200001010017-gtd
combined-24884,200001010018-gtd
combined-24885,200001010019-gtd
combined-24886,200001010020-gtd
combined-24887,200001010021-gtd
combined-24888,200001010022-gtd
combined-24889,200001010023-gtd
combined-24890,200001010024-gtd
combined-24891,200001010025-gtd
combined-24892,200001010026-gtd
combined-24893,200001010027-gtd
combined-24894,200001020001-gtd
combined-24895,200001020002-gtd
combined-24896,200001020003-gtd
combined-24897,200001020004-gtd
combined-24898,200001030001-gtd
combined-24899,200001030002-gtd
combined-24900,200001030003-gtd
combined-24901,200001030004-gtd
combined-24902,200001030005-gtd
combined-24903,200001030006-gtd
combined-24904,200001030007-gtd
combined-24905,200001030008-gtd
combined-24906,200001030009-gtd
combined-24907,200001040001-gtd
combined-24908,200001040002-gtd
combined-24909,200001040003-gtd
combined-24910,200001040004-gtd
combined-24911,200001040005-gtd
combined-24912,200001040006-gtd
combined-24913,200001050001-gtd
combined-24914,200001050003-gtd
combined-24915,200001050004-gtd
combined-24916,200001050005-gtd
combined-24917,200001060001-gtd
combined-24918,200001060002-gtd
combined-24919,200001060003-gtd
combined-24920,200001070001-gtd
combined-24921,200001070002-gtd
combined-24922,200001070003-gtd
combined-24923,200001070004-gtd
combined-24924,200001080001-gtd
combined-24925,200001080002-gtd
combined-24926,200001080003-gtd
combined-24927,200001080004-gtd
combined-24928,200001080005-gtd
combined-24929,200001080006-gtd
combined-24930,200001080007-gtd
combined-24931,200001090001-gtd
combined-24932,200001090002-gtd
combined-24933,200001090003-gtd
combined-24934,200001090004-gtd
combined-24935,200001090005-gtd
combined-24936,200001100001-gtd
combined-24937,200001100002-gtd
combined-24938,200001100004-gtd
combined-24939,200001110001-gtd
combined-24940,200001110002-gtd
combined-24941,200001110003-gtd
combined-24942,200001120001-gtd
combined-24943,200001120002-gtd
combined-24944,200001120003-gtd
combined-24945,200001120004-gtd
combined-24946,200001120005-gtd
combined-24947,200001120006-gtd
combined-24948,200001120007-gtd
combined-24949,200001120008-gtd
combined-24950,200001120009-gtd
combined-24951,200001120010-gtd
combined-24952,200001120011-gtd
combined-24953,200001120012-gtd
combined-24954,200001120013-gtd
combined-24955,200001120014-gtd
combined-24956,200001120015-gtd
combined-24957,200001130001-gtd
combined-24958,200001130002-gtd
combined-24959,200001130003-gtd
combined-24960,200001130004-gtd
combined-24961,200001140001-gtd
combined-24962,200001140002-gtd
combined-24963,200001140003-gtd
combined-24964,200001140004-gtd
combined-24965,200001140005-gtd
combined-24966,200001150001-gtd
combined-24967,200001150002-gtd
combined-24968,200001150003-gtd
combined-24969,200001150004-gtd
combined-24970,200001160001-gtd
combined-24971,200001160002-gtd
combined-24972,200001160003-gtd
combined-24973,200001160004-gtd
combined-24974,200001160005-gtd
combined-24975,200001170001-gtd
combined-24976,200001170002-gtd
combined-24977,200001170003-gtd
combined-24978,200001170004-gtd
combined-24979,200001170005-gtd
combined-24980,200001180001-gtd
combined-24981,200001180002-gtd
combined-24982,200001180003-gtd
combined-24983,200001190001-gtd
combined-24984,200001190002-gtd
combined-24985,200001190003-gtd
combined-24986,200001200001-gtd
combined-24987,200001200002-gtd
combined-24988,200001210001-gtd
combined-24989,200001210002-gtd
combined-24990,200001210003-gtd
combined-24991,200001210004-gtd
combined-24992,200001230001-gtd
combined-24993,200001230002-gtd
combined-24994,200001230003-gtd
combined-24995,200001240001-gtd
combined-24996,200001240002-gtd
combined-24997,200001240003-gtd
combined-24998,200001240004-gtd
combined-24999,200001240005-gtd
combined-25000,200001240007-gtd
combined-25001,200001240008-gtd
combined-25002,200001250001-gtd
combined-25003,200001250002-gtd
combined-25004,200001250003-gtd
combined-25005,200001250004-gtd
combined-25006,200001250005-gtd
combined-25007,200001260001-gtd
combined-25008,200001260002-gtd
combined-25009,200001260003-gtd
combined-25010,200001260004-gtd
combined-25011,200001260005-gtd
combined-25012,200001260006-gtd
combined-25013,200001260007-gtd
combined-25014,200001260008-gtd
combined-25015,200001270001-gtd
combined-25016,200001270003-gtd
combined-25017,200001270004-gtd
combined-25018,200001270005-gtd
combined-25019,200001270006-gtd
combined-25020,200001280001-gtd
combined-25021,200001280002-gtd
combined-25022,200001280003-gtd
combined-25023,200001280004-gtd
combined-25024,200001280005-gtd
combined-25025,200001290001-gtd
combined-25026,200001290002-gtd
combined-25027,200001290003-gtd
combined-25028,200001290004-gtd
combined-25029,200001290005-gtd
combined-25030,200001290006-gtd
combined-25031,200001290007-gtd
combined-25032,200001290008-gtd
combined-25033,200001290009-gtd
combined-25034,200001300001-gtd
combined-25035,200001300002-gtd
combined-25036,200001300003-gtd
combined-25037,200001300004-gtd
combined-25038,200001300005-gtd
combined-25039,200001300006-gtd
combined-25040,200002000001-gtd
combined-25041,200002030001-gtd
combined-25042,200002030002-gtd
combined-25043,200002030003-gtd
combined-25044,200002030004-gtd
combined-25045,200002050001-gtd
combined-25046,200002050002-gtd
combined-25047,200002060001-gtd
combined-25048,200002060002-gtd
combined-25049,200002070001-gtd
combined-25050,200002070002-gtd
combined-25051,200002080001-gtd
combined-25052,200002080002-gtd
combined-25053,200002090001-gtd
combined-25054,200002100001-gtd
combined-25055,200002110001-gtd
combined-25056,200002110002-gtd
combined-25057,200002120001-gtd
combined-25058,200002130001-gtd
combined-25059,200002140001-gtd
combined-25060,200002140002-gtd
combined-25061,200002150001-gtd
combined-25062,200002150002-gtd
combined-25063,200002150003-gtd
combined-25064,200002160001-gtd
combined-25065,200002160002-gtd
combined-25066,200002170001-gtd
combined-25067,200002170002-gtd
combined-25068,200002170003-gtd
combined-25069,200002180001-gtd
combined-25070,200002180002-gtd
combined-25071,200002180003-gtd
combined-25072,200002180004-gtd
combined-25073,200002180005-gtd
combined-25074,200002180007-gtd
combined-25075,200002190001-gtd
combined-25076,200002190002-gtd
combined-25077,200002190003-gtd
combined-25078,200002200001-gtd
combined-25079,200002200002-gtd
combined-25080,200002200003-gtd
combined-25081,200002200004-gtd
combined-25082,200002200005-gtd
combined-25083,200002200006-gtd
combined-25084,200002200007-gtd
combined-25085,200002200008-gtd
combined-25086,200002200009-gtd
combined-25087,200002200010-gtd
combined-25088,200002200011-gtd
combined-25089,200002210001-gtd
combined-25090,200002210002-gtd
combined-25091,200002210003-gtd
combined-25092,200002210004-gtd
combined-25093,200002210005-gtd
combined-25094,200002210006-gtd
combined-25095,200002220001-gtd
combined-25096,200002220002-gtd
combined-25097,200002220003-gtd
combined-25098,200002220004-gtd
combined-25099,200002220005-gtd
combined-25100,200002220006-gtd
combined-25101,200002220007-gtd
combined-25102,200002220008-gtd
combined-25103,200002220009-gtd
combined-25104,200002220010-gtd
combined-25105,200002220011-gtd
combined-25106,200002230001-gtd
combined-25107,200002230002-gtd
combined-25108,200002230003-gtd
combined-25109,200002240001-gtd
combined-25110,200002240002-gtd
combined-25111,200002240003-gtd
combined-25112,200002240004-gtd
combined-25113,200002240005-gtd
combined-25114,200002240006-gtd
combined-25115,200002240007-gtd
combined-25116,200002250001-gtd
combined-25117,200002250002-gtd
combined-25118,200002250003-gtd
combined-25119,200002250004-gtd
combined-25120,200002250005-gtd
combined-25121,200002250007-gtd
combined-25122,200002260001-gtd
combined-25123,200002260002-gtd
combined-25124,200002260003-gtd
combined-25125,200002270001-gtd
combined-25126,200002270002-gtd
combined-25127,200002270003-gtd
combined-25128,200002270004-gtd
combined-25129,200002270005-gtd
combined-25130,200002270006-gtd
combined-25131,200002270007-gtd
combined-25132,200002290001-gtd
combined-25133,200002290002-gtd
combined-25134,200003010001-gtd
combined-25135,200003010002-gtd
combined-25136,200003010003-gtd
combined-25137,200003020001-gtd
combined-25138,200003020002-gtd
combined-25139,200003020003-gtd
combined-25140,200003020004-gtd
combined-25141,200003030001-gtd
combined-25142,200003040001-gtd
combined-25143,200003040002-gtd
combined-25144,200003040003-gtd
combined-25145,200003040004-gtd
combined-25146,200003040005-gtd
combined-25147,200003040006-gtd
combined-25148,200003040007-gtd
combined-25149,200003050001-gtd
combined-25150,200003050002-gtd
combined-25151,200003050003-gtd
combined-25152,200003060001-gtd
combined-25153,200003070001-gtd
combined-25154,200003070002-gtd
combined-25155,200003070003-gtd
combined-25156,200003070004-gtd
combined-25157,200003080001-gtd
combined-25158,200003080002-gtd
combined-25159,200003090001-gtd
combined-25160,200003100001-gtd
combined-25161,200003100002-gtd
combined-25162,200003110001-gtd
combined-25163,200003110002-gtd
combined-25164,200003110003-gtd
combined-25165,200003110004-gtd
combined-25166,200003120001-gtd
combined-25167,200003120002-gtd
combined-25168,200003120003-gtd
combined-25169,200003120004-gtd
combined-25170,200003120005-gtd
combined-25171,200003130001-gtd
combined-25172,200003130002-gtd
combined-25173,200003130003-gtd
combined-25174,200003140001-gtd
combined-25175,200003140002-gtd
combined-25176,200003140003-gtd
combined-25177,200003140004-gtd
combined-25178,200003150001-gtd
combined-25179,200003150002-gtd
combined-25180,200003150003-gtd
combined-25181,200003160001-gtd
combined-25182,200003160002-gtd
combined-25183,200003160003-gtd
combined-25184,200003170001-gtd
combined-25185,200003170002-gtd
combined-25186,200003180001-gtd
combined-25187,200003180002-gtd
combined-25188,200003180003-gtd
combined-25189,200003200001-gtd
combined-25190,200003200002-gtd
combined-25191,200003200003-gtd
combined-25192,200003210001-gtd
combined-25193,200003210002-gtd
combined-25194,200003220001-gtd
combined-25195,200003220002-gtd
combined-25196,200003220003-gtd
combined-25197,200003220004-gtd
combined-25198,200003220005-gtd
combined-25199,200003220008-gtd
combined-25200,200003230001-gtd
combined-25201,200003240001-gtd
combined-25202,200003250001-gtd
combined-25203,200003250002-gtd
combined-25204,200003250003-gtd
combined-25205,200003250004-gtd
combined-25206,200003260001-gtd
combined-25207,200003260002-gtd
combined-25208,200003270001-gtd
combined-25209,200003270002-gtd
combined-25210,200003270003-gtd
combined-25211,200003280001-gtd
combined-25212,200003280002-gtd
combined-25213,200003290001-gtd
combined-25214,200003300001-gtd
combined-25215,200003300002-gtd
combined-25216,200003300003-gtd
combined-25217,200003310001-gtd
combined-25218,200003310002-gtd
combined-25219,200004000001-gtd
combined-25220,200004010001-gtd
combined-25221,200004010002-gtd
combined-25222,200004010003-gtd
combined-25223,200004010004-gtd
combined-25224,200004010005-gtd
combined-25225,200004010006-gtd
combined-25226,200004010007-gtd
combined-25227,200004010008-gtd
combined-25228,200004010009-gtd
combined-25229,200004020001-gtd
combined-25230,200004030001-gtd
combined-25231,200004030002-gtd
combined-25232,200004030003-gtd
combined-25233,200004030004-gtd
combined-25234,200004030006-gtd
combined-25235,200004040001-gtd
combined-25236,200004040002-gtd
combined-25237,200004040003-gtd
combined-25238,200004050001-gtd
combined-25239,200004060001-gtd
combined-25240,200004070001-gtd
combined-25241,200004070002-gtd
combined-25242,200004070003-gtd
combined-25243,200004090001-gtd
combined-25244,200004090002-gtd
combined-25245,200004090003-gtd
combined-25246,200004110001-gtd
combined-25247,200004110002-gtd
combined-25248,200004110003-gtd
combined-25249,200004110004-gtd
combined-25250,200004110005-gtd
combined-25251,200004110006-gtd
combined-25252,200004110007-gtd
combined-25253,200004120001-gtd
combined-25254,200004120002-gtd
combined-25255,200004120003-gtd
combined-25256,200004120004-gtd
combined-25257,200004120005-gtd
combined-25258,200004120006-gtd
combined-25259,200004120007-gtd
combined-25260,200004130001-gtd
combined-25261,200004130002-gtd
combined-25262,200004130003-gtd
combined-25263,200004140001-gtd
combined-25264,200004140002-gtd
combined-25265,200004140003-gtd
combined-25266,200004140004-gtd
combined-25267,200004150001-gtd
combined-25268,200004150002-gtd
combined-25269,200004150003-gtd
combined-25270,200004150004-gtd
combined-25271,200004150005-gtd
combined-25272,200004150006-gtd
combined-25273,200004160001-gtd
combined-25274,200004160002-gtd
combined-25275,200004190001-gtd
combined-25276,200004190002-gtd
combined-25277,200004190003-gtd
combined-25278,200004200001-gtd
combined-25279,200004210001-gtd
combined-25280,200004210002-gtd
combined-25281,200004210003-gtd
combined-25282,200004240001-gtd
combined-25283,200004240002-gtd
combined-25284,200004240003-gtd
combined-25285,200004250001-gtd
combined-25286,200004250003-gtd
combined-25287,200004260001-gtd
combined-25288,200004260002-gtd
combined-25289,200004280001-gtd
combined-25290,200004280002-gtd
combined-25291,200004300001-gtd
combined-25292,200005010001-gtd
combined-25293,200005010002-gtd
combined-25294,200005010003-gtd
combined-25295,200005010004-gtd
combined-25296,200005020001-gtd
combined-25297,200005020002-gtd
combined-25298,200005020003-gtd
combined-25299,200005020004-gtd
combined-25300,200005030001-gtd
combined-25301,200005030002-gtd
combined-25302,200005030003-gtd
combined-25303,200005030004-gtd
combined-25304,200005030005-gtd
combined-25305,200005030006-gtd
combined-25306,200005030007-gtd
combined-25307,200005030008-gtd
combined-25308,200005030009-gtd
combined-25309,200005040001-gtd
combined-25310,200005040002-gtd
combined-25311,200005040003-gtd
combined-25312,200005050001-gtd
combined-25313,200005050002-gtd
combined-25314,200005060001-gtd
combined-25315,200005060002-gtd
combined-25316,200005070001-gtd
combined-25317,200005070002-gtd
combined-25318,200005070003-gtd
combined-25319,200005070004-gtd
combined-25320,200005080001-gtd
combined-25321,200005080002-gtd
combined-25322,200005080003-gtd
combined-25323,200005080004-gtd
combined-25324,200005090001-gtd
combined-25325,200005090002-gtd
combined-25326,200005100001-gtd
combined-25327,200005110001-gtd
combined-25328,200005110002-gtd
combined-25329,200005120001-gtd
combined-25330,200005120002-gtd
combined-25331,200005120003-gtd
combined-25332,200005120004-gtd
combined-25333,200005130001-gtd
combined-25334,200005130002-gtd
combined-25335,200005130003-gtd
combined-25336,200005140001-gtd
combined-25337,200005140002-gtd
combined-25338,200005150001-gtd
combined-25339,200005150002-gtd
combined-25340,200005150003-gtd
combined-25341,200005150004-gtd
combined-25342,200005150005-gtd
combined-25343,200005160001-gtd
combined-25344,200005160002-gtd
combined-25345,200005160003-gtd
combined-25346,200005170001-gtd
combined-25347,200005170002-gtd
combined-25348,200005170003-gtd
combined-25349,200005170006-gtd
combined-25350,200005180001-gtd
combined-25351,200005180002-gtd
combined-25352,200005190001-gtd
combined-25353,200005190002-gtd
combined-25354,200005190003-gtd
combined-25355,200005200001-gtd
combined-25356,200005200002-gtd
combined-25357,200005200003-gtd
combined-25358,200005200004-gtd
combined-25359,200005210001-gtd
combined-25360,200005210002-gtd
combined-25361,200005210003-gtd
combined-25362,200005210004-gtd
combined-25363,200005210005-gtd
combined-25364,200005210006-gtd
combined-25365,200005210007-gtd
combined-25366,200005210008-gtd
combined-25367,200005220001-gtd
combined-25368,200005220002-gtd
combined-25369,200005230001-gtd
combined-25370,200005230002-gtd
combined-25371,200005230003-gtd
combined-25372,200005240001-gtd
combined-25373,200005240002-gtd
combined-25374,200005240003-gtd
combined-25375,200005240004-gtd
combined-25376,200005240005-gtd
combined-25377,200005250001-gtd
combined-25378,200005250002-gtd
combined-25379,200005250003-gtd
combined-25380,200005260001-gtd
combined-25381,200005260002-gtd
combined-25382,200005270001-gtd
combined-25383,200005270002-gtd
combined-25384,200005270003-gtd
combined-25385,200005270004-gtd
combined-25386,200005270005-gtd
combined-25387,200005270006-gtd
combined-25388,200005270007-gtd
combined-25389,200005270008-gtd
combined-25390,200005270009-gtd
combined-25391,200005280001-gtd
combined-25392,200005280002-gtd
combined-25393,200005280003-gtd
combined-25394,200005280004-gtd
combined-25395,200005280005-gtd
combined-25396,200005280006-gtd
combined-25397,200005290001-gtd
combined-25398,200005290002-gtd
combined-25399,200005290003-gtd
combined-25400,200005290004-gtd
combined-25401,200005290005-gtd
combined-25402,200005290006-gtd
combined-25403,200005290007-gtd
combined-25404,200005290008-gtd
combined-25405,200005300001-gtd
combined-25406,200005300002-gtd
combined-25407,200005300003-gtd
combined-25408,200005310001-gtd
combined-25409,200006010001-gtd
combined-25410,200006010002-gtd
combined-25411,200006020001-gtd
combined-25412,200006020002-gtd
combined-25413,200006020003-gtd
combined-25414,200006020004-gtd
combined-25415,200006020005-gtd
combined-25416,200006020006-gtd
combined-25417,200006020007-gtd
combined-25418,200006020008-gtd
combined-25419,200006020009-gtd
combined-25420,200006020010-gtd
combined-25421,200006020011-gtd
combined-25422,200006020012-gtd
combined-25423,200006020013-gtd
combined-25424,200006020014-gtd
combined-25425,200006030001-gtd
combined-25426,200006030002-gtd
combined-25427,200006030003-gtd
combined-25428,200006030004-gtd
combined-25429,200006030005-gtd
combined-25430,200006030006-gtd
combined-25431,200006040001-gtd
combined-25432,200006040002-gtd
combined-25433,200006040003-gtd
combined-25434,200006040004-gtd
combined-25435,200006040005-gtd
combined-25436,200006040006-gtd
combined-25437,200006040007-gtd
combined-25438,200006040008-gtd
combined-25439,200006050001-gtd
combined-25440,200006050004-gtd
combined-25441,200006060001-gtd
combined-25442,200006060002-gtd
combined-25443,200006060003-gtd
combined-25444,200006060004-gtd
combined-25445,200006060005-gtd
combined-25446,200006060006-gtd
combined-25447,200006060007-gtd
combined-25448,200006060008-gtd
combined-25449,200006060009-gtd
combined-25450,200006060010-gtd
combined-25451,200006060011-gtd
combined-25452,200006060012-gtd
combined-25453,200006060013-gtd
combined-25454,200006060014-gtd
combined-25455,200006060015-gtd
combined-25456,200006060016-gtd
combined-25457,200006060017-gtd
combined-25458,200006070001-gtd
combined-25459,200006070002-gtd
combined-25460,200006070003-gtd
combined-25461,200006070004-gtd
combined-25462,200006070005-gtd
combined-25463,200006070006-gtd
combined-25464,200006070007-gtd
combined-25465,200006070008-gtd
combined-25466,200006080001-gtd
combined-25467,200006080002-gtd
combined-25468,200006080003-gtd
combined-25469,200006080004-gtd
combined-25470,200006080005-gtd
combined-25471,200006080006-gtd
combined-25472,200006080007-gtd
combined-25473,200006080008-gtd
combined-25474,200006080009-gtd
combined-25475,200006080010-gtd
combined-25476,200006080011-gtd
combined-25477,200006080012-gtd
combined-25478,200006080014-gtd
combined-25479,200006080015-gtd
combined-25480,200006080016-gtd
combined-25481,200006080017-gtd
combined-25482,200006090001-gtd
combined-25483,200006090002-gtd
combined-25484,200006090003-gtd
combined-25485,200006090004-gtd
combined-25486,200006100001-gtd
combined-25487,200006100002-gtd
combined-25488,200006100003-gtd
combined-25489,200006100004-gtd
combined-25490,200006100005-gtd
combined-25491,200006100006-gtd
combined-25492,200006110001-gtd
combined-25493,200006110002-gtd
combined-25494,200006110004-gtd
combined-25495,200006120001-gtd
combined-25496,200006120002-gtd
combined-25497,200006120003-gtd
combined-25498,200006120004-gtd
combined-25499,200006120005-gtd
combined-25500,200006130001-gtd
combined-25501,200006130002-gtd
combined-25502,200006130003-gtd
combined-25503,200006130004-gtd
combined-25504,200006140001-gtd
combined-25505,200006140002-gtd
combined-25506,200006140003-gtd
combined-25507,200006140004-gtd
combined-25508,200006140005-gtd
combined-25509,200006150001-gtd
combined-25510,200006150002-gtd
combined-25511,200006150003-gtd
combined-25512,200006160001-gtd
combined-25513,200006160002-gtd
combined-25514,200006160003-gtd
combined-25515,200006160004-gtd
combined-25516,200006160005-gtd
combined-25517,200006160006-gtd
combined-25518,200006170001-gtd
combined-25519,200006170002-gtd
combined-25520,200006170003-gtd
combined-25521,200006170004-gtd
combined-25522,200006180001-gtd
combined-25523,200006180002-gtd
combined-25524,200006180003-gtd
combined-25525,200006190001-gtd
combined-25526,200006190002-gtd
